year,Iws
2010.0,1.79
2010.0,10.72
2010.0,12.51
2010.0,121.58
2010.0,124.71
2010.0,198.45
2010.0,201.58
2010.0,33.52
2010.0,39.33
2010.0,24.59
2010.0,26.38
2010.0,6.71
2010.0,0.89
2010.0,19.22
2010.0,22.35
2010.0,66.16
2010.0,71.97
2010.0,160.03
2010.0,169.86
2010.0,13.85
2010.0,15.64
2010.0,1.78
2010.0,2.23
2010.0,2.68
2010.0,5.81
2010.0,4.02
2010.0,5.81
2010.0,0.45
2010.0,1.34
2010.0,65.7
2010.0,75.53
2010.0,59.0
2010.0,63.92
2010.0,79.15
2010.0,86.3
2010.0,129.18
2010.0,141.25
2010.0,8.5
2010.0,1.79
2010.0,24.15
2010.0,32.2
2010.0,7.15
2010.0,12.07
2010.0,3.13
2010.0,0.89
2010.0,0.89
2010.0,1.79
2010.0,41.13
2010.0,42.92
2010.0,0.89
2010.0,1.34
2010.0,4.92
2010.0,6.71
2010.0,13.41
2010.0,15.2
2010.0,1.78
2010.0,1.79
2010.0,1.79
2010.0,4.92
2010.0,12.07
2010.0,16.09
2010.0,9.83
2010.0,14.75
2010.0,1.79
2010.0,1.79
2010.0,2.67
2010.0,0.89
2010.0,4.02
2010.0,7.15
2010.0,8.04
2010.0,12.06
2010.0,9.39
2010.0,0.45
2010.0,3.58
2010.0,0.89
2010.0,14.76
2010.0,0.89
2010.0,11.62
2010.0,0.89
2010.0,3.58
2010.0,0.89
2010.0,0.89
2010.0,1.78
2010.0,63.48
2010.0,66.61
2010.0,54.95
2010.0,0.89
2010.0,7.15
2010.0,16.09
2010.0,80.48
2010.0,82.27
2010.0,0.89
2010.0,0.89
2010.0,22.36
2010.0,3.13
2010.0,29.06
2010.0,34.87
2010.0,0.45
2010.0,0.9
2010.0,2.23
2010.0,1.79
2010.0,1.79
2010.0,2.68
2010.0,1.78
2010.0,2.67
2010.0,3.13
2010.0,3.13
2010.0,0.89
2010.0,3.13
2010.0,22.79
2010.0,26.81
2010.0,1.79
2010.0,3.58
2010.0,4.92
2010.0,9.84
2010.0,3.57
2010.0,5.36
2010.0,129.21
2010.0,140.39
2010.0,3.13
2010.0,1.79
2010.0,0.89
2010.0,0.89
2010.0,8.04
2010.0,12.96
2010.0,2.67
2010.0,0.89
2010.0,13.86
2010.0,16.99
2010.0,8.94
2010.0,13.86
2010.0,0.89
2010.0,0.89
2010.0,1.79
2010.0,0.89
2010.0,171.19
2010.0,183.26
2010.0,5.36
2010.0,1.79
2010.0,4.92
2010.0,1.79
2010.0,20.57
2010.0,26.38
2010.0,1.78
2010.0,0.89
2010.0,119.35
2010.0,123.37
2010.0,38.0
2010.0,42.02
2010.0,55.87
2010.0,59.89
2010.0,12.08
2010.0,17.0
2010.0,272.24
2010.0,280.29
2010.0,39.34
2010.0,47.39
2010.0,9.83
2010.0,12.96
2010.0,98.34
2010.0,101.47
2010.0,6.26
2010.0,7.15
2010.0,8.49
2010.0,0.89
2010.0,4.92
2010.0,5.81
2010.0,10.28
2010.0,0.45
2010.0,0.45
2010.0,1.79
2010.0,159.14
2010.0,7.15
2010.0,61.25
2010.0,71.08
2010.0,266.44
2010.0,273.59
2010.0,107.28
2010.0,117.11
2010.0,39.35
2010.0,0.89
2010.0,1.79
2010.0,1.79
2010.0,18.33
2010.0,3.13
2010.0,44.7
2010.0,49.62
2010.0,18.32
2010.0,25.47
2010.0,47.83
2010.0,57.66
2010.0,0.89
2010.0,1.79
2010.0,1.79
2010.0,3.58
2010.0,4.02
2010.0,1.79
2010.0,41.13
2010.0,42.92
2010.0,9.39
2010.0,12.52
2010.0,0.89
2010.0,3.13
2010.0,98.8
2010.0,101.93
2010.0,21.9
2010.0,29.95
2010.0,30.84
2010.0,39.78
2010.0,46.93
2010.0,50.06
2010.0,8.49
2010.0,0.89
2010.0,1.79
2010.0,1.79
2010.0,10.28
2010.0,0.89
2010.0,0.89
2010.0,1.78
2010.0,4.92
2010.0,8.05
2010.0,8.05
2010.0,1.79
2010.0,3.13
2010.0,8.05
2010.0,8.94
2010.0,3.13
2010.0,1.78
2010.0,1.79
2010.0,0.89
2010.0,1.78
2010.0,3.13
2010.0,8.05
2010.0,32.18
2010.0,33.97
2010.0,6.71
2010.0,8.5
2010.0,8.05
2010.0,11.18
2010.0,0.89
2010.0,1.79
2010.0,1.79
2010.0,3.58
2010.0,4.02
2010.0,7.15
2010.0,0.89
2010.0,1.79
2010.0,0.89
2010.0,0.89
2010.0,14.76
2010.0,19.68
2010.0,3.13
2010.0,6.26
2010.0,1.79
2010.0,2.68
2010.0,1.79
2010.0,3.58
2010.0,6.71
2010.0,1.79
2010.0,1.78
2010.0,2.67
2010.0,18.33
2010.0,22.35
2010.0,29.06
2010.0,0.89
2010.0,0.89
2010.0,1.78
2010.0,14.3
2010.0,18.32
2010.0,4.02
2010.0,7.15
2010.0,0.89
2010.0,1.79
2010.0,3.13
2010.0,1.79
2010.0,30.84
2010.0,34.86
2010.0,12.96
2010.0,16.98
2010.0,7.15
2010.0,12.96
2010.0,10.73
2010.0,12.52
2010.0,2.67
2010.0,1.79
2010.0,0.89
2010.0,1.79
2010.0,3.13
2010.0,4.92
2010.0,3.13
2010.0,6.26
2010.0,8.5
2010.0,9.39
2010.0,3.13
2010.0,4.92
2010.0,0.89
2010.0,1.79
2010.0,11.18
2010.0,15.2
2010.0,1.79
2010.0,0.45
2010.0,0.89
2010.0,0.89
2010.0,8.05
2010.0,11.18
2010.0,44.26
2010.0,46.05
2010.0,1.79
2010.0,0.89
2010.0,9.84
2010.0,12.97
2010.0,57.23
2010.0,60.36
2010.0,50.97
2010.0,52.76
2010.0,3.58
2010.0,5.37
2010.0,3.58
2010.0,5.37
2010.0,1.78
2010.0,2.67
2010.0,1.79
2010.0,3.58
2010.0,3.13
2010.0,4.92
2010.0,152.44
2010.0,155.57
2010.0,23.69
2010.0,28.61
2010.0,0.89
2010.0,1.79
2010.0,12.07
2010.0,16.99
2010.0,38.9
2010.0,42.92
2010.0,3.13
2010.0,6.26
2010.0,0.89
2010.0,1.78
2010.0,0.89
2010.0,1.79
2010.0,38.88
2010.0,40.67
2010.0,87.19
2010.0,90.32
2010.0,3.58
2010.0,6.71
2010.0,30.4
2010.0,32.19
2010.0,3.13
2010.0,4.92
2010.0,3.13
2010.0,4.92
2010.0,0.89
2010.0,2.68
2010.0,15.65
2010.0,19.67
2010.0,1.78
2010.0,2.67
2010.0,21.46
2010.0,23.25
2010.0,0.89
2010.0,1.79
2010.0,15.21
2010.0,17.0
2010.0,1.78
2010.0,1.79
2010.0,1.79
2010.0,6.71
2010.0,3.13
2010.0,6.26
2010.0,0.89
2010.0,1.78
2010.0,0.89
2010.0,1.78
2010.0,9.39
2010.0,12.52
2010.0,36.66
2010.0,38.45
2010.0,4.92
2010.0,6.71
2010.0,4.92
2010.0,6.71
2010.0,1.79
2010.0,0.89
2010.0,2.23
2010.0,3.12
2010.0,85.85
2010.0,88.98
2010.0,4.47
2010.0,7.6
2010.0,5.37
2010.0,8.5
2010.0,3.13
2010.0,4.92
2010.0,3.13
2010.0,6.26
2010.0,16.54
2010.0,19.67
2010.0,4.92
2010.0,8.94
2010.0,1.78
2010.0,0.89
2010.0,1.79
2010.0,8.05
2010.0,0.89
2010.0,3.13
2010.0,1.79
2010.0,0.89
2010.0,2.68
2010.0,1.79
2010.0,68.4
2010.0,78.23
2010.0,278.5
2010.0,3.13
2010.0,9.84
2010.0,12.97
2010.0,8.05
2010.0,11.18
2010.0,0.89
2010.0,0.89
2010.0,0.89
2010.0,0.89
2010.0,1.34
2010.0,1.79
2010.0,0.89
2010.0,2.68
2010.0,1.79
2010.0,2.68
2010.0,61.68
2010.0,69.73
2010.0,2.68
2010.0,0.89
2010.0,85.81
2010.0,88.94
2010.0,16.99
2010.0,20.12
2010.0,6.26
2010.0,8.05
2010.0,0.89
2010.0,0.89
2010.0,0.89
2010.0,1.78
2010.0,2.68
2010.0,3.57
2010.0,59.01
2010.0,64.82
2010.0,2.68
2010.0,3.57
2010.0,0.89
2010.0,3.13
2010.0,1.79
2010.0,2.68
2010.0,2.68
2010.0,3.57
2010.0,6.71
2010.0,9.84
2010.0,1.79
2010.0,3.58
2010.0,3.13
2010.0,3.13
2010.0,0.89
2010.0,2.68
2010.0,1.78
2010.0,0.89
2010.0,89.85
2010.0,102.81
2010.0,0.89
2010.0,1.79
2010.0,12.51
2010.0,14.3
2010.0,84.45
2010.0,94.28
2010.0,50.97
2010.0,59.91
2010.0,186.01
2010.0,187.8
2010.0,243.29
2010.0,245.08
2010.0,300.57
2010.0,302.36
2010.0,4.92
2010.0,8.05
2010.0,13.85
2010.0,0.89
2010.0,3.58
2010.0,0.89
2010.0,1.79
2010.0,3.58
2010.0,7.6
2010.0,0.89
2010.0,3.13
2010.0,4.92
2010.0,3.57
2010.0,0.89
2010.0,164.51
2010.0,166.3
2010.0,1.78
2010.0,2.67
2010.0,1.78
2010.0,2.67
2010.0,2.67
2010.0,3.56
2010.0,3.13
2010.0,4.02
2010.0,22.81
2010.0,0.89
2010.0,31.72
2010.0,41.55
2010.0,14.75
2010.0,17.88
2010.0,1.79
2010.0,3.58
2010.0,3.13
2010.0,4.92
2010.0,179.71
2010.0,182.84
2010.0,10.28
2010.0,13.41
2010.0,110.85
2010.0,115.77
2010.0,124.26
2010.0,130.07
2010.0,3.58
2010.0,0.89
2010.0,21.89
2010.0,25.02
2010.0,2.67
2010.0,0.89
2010.0,0.89
2010.0,1.78
2010.0,1.79
2010.0,2.68
2010.0,30.4
2010.0,36.21
2010.0,4.02
2010.0,8.04
2010.0,7.15
2010.0,8.94
2010.0,2.67
2010.0,3.13
2010.0,156.45
2010.0,162.26
2010.0,55.42
2010.0,64.36
2010.0,354.06
2010.0,359.87
2011.0,6.26
2011.0,11.18
2011.0,3.57
2011.0,4.46
2011.0,1.79
2011.0,2.68
2011.0,137.22
2011.0,146.16
2011.0,385.32
2011.0,392.47
2011.0,1.78
2011.0,0.89
2011.0,256.13
2011.0,260.15
2011.0,28.16
2011.0,33.08
2011.0,1.78
2011.0,1.79
2011.0,12.52
2011.0,0.89
2011.0,105.94
2011.0,114.88
2011.0,3.13
2011.0,6.26
2011.0,30.39
2011.0,33.52
2011.0,60.35
2011.0,67.5
2011.0,12.06
2011.0,1.79
2011.0,25.03
2011.0,4.02
2011.0,24.14
2011.0,32.19
2011.0,255.72
2011.0,261.53
2011.0,22.81
2011.0,27.73
2011.0,4.92
2011.0,0.89
2011.0,9.84
2011.0,12.97
2011.0,125.18
2011.0,128.31
2011.0,181.94
2011.0,189.09
2011.0,77.77
2011.0,80.9
2011.0,10.28
2011.0,14.3
2011.0,3.13
2011.0,8.05
2011.0,25.03
2011.0,25.92
2011.0,3.13
2011.0,1.79
2011.0,12.96
2011.0,16.98
2011.0,1.79
2011.0,2.68
2011.0,66.61
2011.0,68.4
2011.0,80.47
2011.0,91.65
2011.0,29.51
2011.0,31.3
2011.0,3.13
2011.0,4.02
2011.0,1.79
2011.0,3.58
2011.0,0.45
2011.0,0.89
2011.0,7.6
2011.0,9.39
2011.0,3.58
2011.0,3.13
2011.0,4.01
2011.0,4.9
2011.0,8.04
2011.0,9.83
2011.0,11.18
2011.0,0.89
2011.0,20.12
2011.0,21.91
2011.0,3.58
2011.0,5.37
2011.0,49.16
2011.0,54.97
2011.0,88.52
2011.0,93.44
2011.0,3.12
2011.0,1.79
2011.0,172.09
2011.0,179.24
2011.0,29.5
2011.0,34.42
2011.0,58.56
2011.0,63.48
2011.0,72.42
2011.0,81.36
2011.0,24.15
2011.0,29.07
2011.0,0.89
2011.0,1.78
2011.0,19.67
2011.0,22.8
2011.0,0.89
2011.0,0.89
2011.0,31.74
2011.0,38.89
2011.0,286.09
2011.0,295.92
2011.0,1.78
2011.0,0.89
2011.0,3.58
2011.0,5.37
2011.0,21.02
2011.0,25.94
2011.0,0.45
2011.0,0.89
2011.0,3.13
2011.0,7.15
2011.0,5.81
2011.0,9.83
2011.0,218.61
2011.0,222.63
2011.0,0.89
2011.0,1.79
2011.0,6.26
2011.0,3.13
2011.0,24.14
2011.0,25.93
2011.0,0.89
2011.0,1.78
2011.0,1.79
2011.0,3.13
2011.0,0.89
2011.0,1.78
2011.0,13.86
2011.0,16.99
2011.0,15.19
2011.0,21.0
2011.0,77.34
2011.0,80.47
2011.0,8.94
2011.0,14.75
2011.0,36.2
2011.0,42.01
2011.0,16.99
2011.0,28.17
2011.0,1.34
2011.0,3.13
2011.0,16.09
2011.0,23.24
2011.0,1.78
2011.0,2.67
2011.0,9.83
2011.0,8.94
2011.0,29.06
2011.0,36.21
2011.0,183.25
2011.0,187.27
2011.0,1.79
2011.0,3.58
2011.0,12.97
2011.0,16.1
2011.0,1.79
2011.0,0.89
2011.0,2.68
2011.0,1.79
2011.0,3.13
2011.0,8.94
2011.0,37.55
2011.0,40.68
2011.0,0.89
2011.0,1.79
2011.0,9.39
2011.0,12.52
2011.0,0.89
2011.0,1.78
2011.0,185.06
2011.0,194.0
2011.0,83.15
2011.0,94.33
2011.0,27.27
2011.0,31.29
2011.0,1.79
2011.0,0.89
2011.0,63.03
2011.0,72.86
2011.0,29.06
2011.0,33.08
2011.0,10.73
2011.0,14.75
2011.0,12.07
2011.0,15.2
2011.0,105.49
2011.0,115.32
2011.0,4.47
2011.0,8.05
2011.0,4.92
2011.0,12.97
2011.0,31.3
2011.0,33.09
2011.0,1.79
2011.0,4.92
2011.0,4.92
2011.0,6.71
2011.0,41.56
2011.0,44.69
2011.0,14.31
2011.0,24.14
2011.0,29.95
2011.0,39.78
2011.0,63.02
2011.0,67.04
2011.0,185.07
2011.0,188.2
2011.0,74.65
2011.0,77.78
2011.0,39.77
2011.0,41.56
2011.0,6.26
2011.0,9.39
2011.0,3.13
2011.0,4.92
2011.0,156.92
2011.0,160.94
2011.0,1.78
2011.0,1.79
2011.0,4.02
2011.0,7.15
2011.0,1.79
2011.0,3.58
2011.0,1.78
2011.0,2.67
2011.0,18.78
2011.0,22.8
2011.0,34.86
2011.0,36.65
2011.0,1.79
2011.0,2.68
2011.0,5.81
2011.0,12.96
2011.0,3.13
2011.0,3.13
2011.0,5.37
2011.0,7.16
2011.0,31.74
2011.0,35.76
2011.0,3.13
2011.0,6.26
2011.0,0.45
2011.0,1.34
2011.0,4.92
2011.0,8.94
2011.0,32.19
2011.0,33.98
2011.0,1.78
2011.0,1.79
2011.0,40.22
2011.0,45.14
2011.0,3.13
2011.0,4.92
2011.0,17.87
2011.0,21.0
2011.0,6.26
2011.0,11.18
2011.0,30.4
2011.0,0.89
2011.0,6.71
2011.0,0.89
2011.0,1.79
2011.0,0.89
2011.0,1.79
2011.0,2.68
2011.0,8.94
2011.0,10.73
2011.0,7.15
2011.0,1.79
2011.0,4.92
2011.0,1.79
2011.0,0.89
2011.0,1.78
2011.0,1.79
2011.0,5.81
2011.0,7.15
2011.0,10.28
2011.0,4.92
2011.0,8.05
2011.0,4.92
2011.0,8.05
2011.0,16.99
2011.0,18.78
2011.0,1.78
2011.0,2.67
2011.0,3.58
2011.0,9.39
2011.0,1.79
2011.0,3.13
2011.0,1.79
2011.0,4.92
2011.0,8.04
2011.0,13.85
2011.0,5.37
2011.0,0.89
2011.0,0.89
2011.0,3.13
2011.0,1.79
2011.0,3.58
2011.0,33.98
2011.0,3.13
2011.0,53.19
2011.0,54.98
2011.0,4.02
2011.0,3.13
2011.0,25.03
2011.0,0.89
2011.0,0.89
2011.0,1.78
2011.0,31.29
2011.0,37.1
2011.0,46.94
2011.0,50.07
2011.0,12.52
2011.0,0.89
2011.0,31.28
2011.0,36.2
2011.0,27.28
2011.0,29.07
2011.0,1.79
2011.0,3.58
2011.0,4.92
2011.0,6.71
2011.0,28.18
2011.0,29.97
2011.0,18.34
2011.0,21.47
2011.0,10.74
2011.0,0.89
2011.0,3.13
2011.0,4.92
2011.0,0.89
2011.0,1.78
2011.0,4.92
2011.0,9.84
2011.0,39.78
2011.0,41.57
2011.0,0.89
2011.0,1.78
2011.0,7.15
2011.0,11.17
2011.0,6.71
2011.0,8.5
2011.0,0.89
2011.0,1.79
2011.0,26.37
2011.0,29.5
2011.0,1.34
2011.0,2.23
2011.0,0.89
2011.0,1.78
2011.0,1.79
2011.0,4.92
2011.0,6.26
2011.0,5.81
2011.0,3.13
2011.0,1.79
2011.0,24.13
2011.0,29.05
2011.0,0.89
2011.0,1.79
2011.0,0.89
2011.0,1.79
2011.0,20.12
2011.0,25.04
2011.0,1.78
2011.0,1.79
2011.0,16.99
2011.0,21.01
2011.0,1.79
2011.0,3.58
2011.0,32.2
2011.0,33.99
2011.0,0.89
2011.0,1.78
2011.0,1.79
2011.0,4.92
2011.0,20.12
2011.0,21.91
2011.0,7.15
2011.0,4.02
2011.0,1.79
2011.0,3.13
2011.0,1.34
2011.0,2.23
2011.0,24.14
2011.0,28.16
2011.0,15.19
2011.0,19.21
2011.0,0.89
2011.0,1.78
2011.0,2.67
2011.0,0.89
2011.0,5.81
2011.0,9.83
2011.0,1.79
2011.0,3.58
2011.0,34.87
2011.0,38.89
2011.0,1.79
2011.0,1.79
2011.0,1.79
2011.0,0.89
2011.0,1.79
2011.0,3.58
2011.0,19.67
2011.0,25.48
2011.0,0.89
2011.0,2.68
2011.0,12.97
2011.0,16.1
2011.0,5.81
2011.0,8.94
2011.0,0.89
2011.0,0.89
2011.0,0.89
2011.0,1.79
2011.0,4.92
2011.0,8.05
2011.0,18.32
2011.0,23.24
2011.0,0.89
2011.0,3.13
2011.0,7.15
2011.0,10.28
2011.0,0.89
2011.0,0.89
2011.0,1.79
2011.0,2.68
2011.0,1.79
2011.0,1.79
2011.0,0.89
2011.0,0.89
2011.0,11.63
2011.0,13.42
2011.0,12.07
2011.0,16.09
2011.0,2.68
2011.0,0.89
2011.0,1.79
2011.0,5.81
2011.0,11.63
2011.0,16.55
2011.0,24.15
2011.0,25.04
2011.0,1.78
2011.0,2.67
2011.0,1.78
2011.0,1.79
2011.0,0.45
2011.0,1.79
2011.0,54.09
2011.0,55.88
2011.0,0.89
2011.0,1.78
2011.0,0.45
2011.0,0.89
2011.0,25.92
2011.0,29.94
2011.0,1.79
2011.0,4.92
2011.0,5.34
2011.0,1.79
2011.0,44.7
2011.0,51.85
2011.0,0.89
2011.0,1.78
2011.0,3.56
2011.0,1.79
2011.0,8.94
2011.0,12.07
2011.0,1.79
2011.0,6.71
2011.0,150.22
2011.0,155.14
2011.0,13.42
2011.0,0.89
2011.0,28.16
2011.0,40.23
2011.0,0.89
2011.0,1.79
2011.0,20.11
2011.0,21.9
2011.0,34.88
2011.0,0.89
2011.0,1.79
2011.0,2.68
2011.0,5.36
2011.0,0.89
2011.0,13.86
2011.0,15.65
2011.0,2.68
2011.0,4.47
2011.0,8.05
2011.0,11.18
2011.0,3.58
2011.0,5.37
2011.0,1.78
2011.0,1.79
2011.0,0.89
2011.0,0.89
2011.0,50.95
2011.0,60.78
2011.0,93.43
2011.0,99.24
2011.0,3.58
2011.0,1.79
2011.0,5.37
2011.0,8.5
2011.0,8.05
2011.0,20.12
2011.0,9.84
2011.0,13.86
2011.0,274.04
2011.0,278.96
2011.0,4.92
2011.0,8.94
2011.0,3.13
2011.0,4.92
2011.0,3.58
2011.0,1.79
2011.0,3.13
2011.0,3.13
2011.0,1.79
2011.0,0.89
2011.0,29.95
2011.0,35.76
2011.0,3.58
2011.0,1.79
2011.0,12.53
2011.0,14.32
2011.0,9.83
2011.0,11.62
2011.0,46.96
2011.0,48.75
2011.0,26.38
2011.0,29.51
2012.0,1.79
2012.0,0.89
2012.0,119.36
2012.0,127.41
2012.0,1.79
2012.0,4.92
2012.0,2.67
2012.0,0.89
2012.0,34.44
2012.0,36.23
2012.0,11.63
2012.0,15.65
2012.0,4.92
2012.0,8.94
2012.0,3.13
2012.0,7.15
2012.0,4.46
2012.0,6.25
2012.0,4.02
2012.0,7.15
2012.0,0.89
2012.0,0.89
2012.0,8.5
2012.0,11.63
2012.0,2.67
2012.0,0.89
2012.0,1.78
2012.0,2.67
2012.0,32.64
2012.0,38.45
2012.0,4.92
2012.0,8.05
2012.0,0.89
2012.0,3.13
2012.0,33.08
2012.0,37.1
2012.0,12.97
2012.0,22.8
2012.0,0.89
2012.0,4.92
2012.0,1.78
2012.0,0.89
2012.0,1.79
2012.0,2.68
2012.0,7.14
2012.0,0.45
2012.0,23.7
2012.0,4.02
2012.0,3.13
2012.0,1.79
2012.0,4.92
2012.0,10.73
2012.0,1.79
2012.0,1.79
2012.0,137.23
2012.0,153.32
2012.0,98.79
2012.0,105.94
2012.0,0.89
2012.0,3.13
2012.0,8.05
2012.0,13.86
2012.0,12.5
2012.0,16.52
2012.0,9.39
2012.0,11.18
2012.0,5.81
2012.0,1.79
2012.0,16.09
2012.0,20.11
2012.0,178.82
2012.0,188.65
2012.0,30.39
2012.0,36.2
2012.0,2.67
2012.0,3.56
2012.0,1.79
2012.0,3.58
2012.0,3.57
2012.0,1.79
2012.0,23.69
2012.0,25.48
2012.0,52.3
2012.0,56.32
2012.0,5.37
2012.0,3.13
2012.0,2.67
2012.0,3.56
2012.0,1.78
2012.0,3.57
2012.0,0.89
2012.0,1.78
2012.0,0.45
2012.0,1.34
2012.0,0.89
2012.0,0.89
2012.0,11.63
2012.0,13.42
2012.0,0.45
2012.0,4.02
2012.0,29.51
2012.0,34.43
2012.0,16.99
2012.0,21.01
2012.0,158.24
2012.0,165.39
2012.0,8.95
2012.0,10.74
2012.0,18.33
2012.0,25.48
2012.0,42.9
2012.0,46.03
2012.0,3.58
2012.0,0.89
2012.0,33.08
2012.0,38.0
2012.0,0.89
2012.0,1.79
2012.0,5.81
2012.0,9.83
2012.0,5.81
2012.0,4.02
2012.0,41.12
2012.0,46.04
2012.0,51.85
2012.0,57.66
2012.0,10.28
2012.0,15.2
2012.0,0.89
2012.0,3.13
2012.0,1.79
2012.0,1.79
2012.0,49.17
2012.0,60.35
2012.0,3.13
2012.0,7.15
2012.0,0.89
2012.0,1.79
2012.0,14.75
2012.0,19.67
2012.0,0.89
2012.0,1.79
2012.0,56.77
2012.0,61.69
2012.0,4.02
2012.0,4.02
2012.0,1.79
2012.0,4.92
2012.0,0.89
2012.0,0.89
2012.0,71.09
2012.0,78.24
2012.0,25.92
2012.0,4.02
2012.0,4.01
2012.0,1.79
2012.0,25.92
2012.0,33.97
2012.0,41.58
2012.0,45.6
2012.0,71.96
2012.0,73.75
2012.0,108.19
2012.0,109.98
2012.0,1.79
2012.0,3.58
2012.0,14.3
2012.0,18.32
2012.0,3.13
2012.0,6.26
2012.0,5.81
2012.0,8.94
2012.0,103.25
2012.0,108.17
2012.0,8.05
2012.0,12.07
2012.0,165.83
2012.0,4.02
2012.0,3.58
2012.0,6.71
2012.0,1.79
2012.0,4.92
2012.0,48.74
2012.0,0.89
2012.0,8.94
2012.0,12.07
2012.0,9.39
2012.0,13.41
2012.0,32.63
2012.0,36.65
2012.0,1.78
2012.0,3.13
2012.0,4.47
2012.0,1.79
2012.0,0.89
2012.0,0.45
2012.0,23.25
2012.0,25.04
2012.0,4.02
2012.0,9.83
2012.0,7.15
2012.0,11.17
2012.0,0.89
2012.0,3.13
2012.0,117.99
2012.0,127.82
2012.0,52.3
2012.0,54.09
2012.0,10.29
2012.0,12.08
2012.0,21.01
2012.0,25.93
2012.0,27.27
2012.0,3.13
2012.0,3.13
2012.0,7.15
2012.0,1.79
2012.0,1.79
2012.0,0.89
2012.0,1.79
2012.0,1.79
2012.0,3.58
2012.0,17.88
2012.0,22.8
2012.0,12.06
2012.0,15.19
2012.0,1.79
2012.0,0.89
2012.0,12.07
2012.0,15.2
2012.0,57.24
2012.0,60.37
2012.0,0.89
2012.0,1.78
2012.0,3.13
2012.0,7.15
2012.0,7.15
2012.0,11.17
2012.0,1.79
2012.0,0.89
2012.0,16.54
2012.0,22.35
2012.0,16.98
2012.0,25.03
2012.0,9.39
2012.0,13.41
2012.0,13.86
2012.0,17.88
2012.0,6.26
2012.0,8.05
2012.0,44.27
2012.0,0.89
2012.0,16.54
2012.0,21.46
2012.0,18.77
2012.0,20.56
2012.0,0.89
2012.0,0.45
2012.0,5.37
2012.0,1.79
2012.0,54.08
2012.0,0.89
2012.0,18.78
2012.0,22.8
2012.0,19.22
2012.0,22.35
2012.0,26.38
2012.0,27.27
2012.0,0.89
2012.0,1.79
