date,value
01/01/2019,93.37
01/01/2019,78.47
01/01/2019,52.53
01/01/2019,61.85
01/01/2019,69.66
01/01/2020,70.35
01/01/2020,83.21
01/01/2020,72.29
01/01/2020,60.46
01/01/2021,16.53
01/01/2021,11.82
01/01/2021,8.45
01/01/2021,5.57
01/01/2021,12.74
01/01/2021,16.93
01/01/2022,34.9
01/01/2022,29.6
01/01/2022,71.89
01/01/2022,38.23
01/01/2023,43.47
01/01/2023,62.82
01/01/2023,74.38
01/01/2023,69.72
01/01/2023,39.46
01/01/2023,48.11
01/02/2019,64.59
01/02/2019,79.58
01/02/2019,63.6
01/02/2019,58.65
01/02/2020,61.09
01/02/2020,53.11
01/02/2020,53.16
01/02/2020,60.43
01/02/2021,33.05
01/02/2021,30.52
01/02/2021,11.57
01/02/2021,9.94
01/02/2021,30.12
01/02/2021,26.25
01/02/2022,35.97
01/02/2022,30.5
01/02/2022,26.82
01/02/2022,73.65
01/02/2023,53.71
01/02/2023,45.45
01/02/2023,93.51
01/02/2023,75.63
01/02/2023,55.1
01/02/2023,38.09
01/03/2019,67.55
01/03/2019,67.47
01/03/2019,65.89
01/03/2019,66.41
01/03/2020,32.63
01/03/2020,26.05
01/03/2020,30.58
01/03/2020,17.89
01/03/2021,34.65
01/03/2021,36.73
01/03/2021,11.88
01/03/2021,17.08
01/03/2021,40.8
01/03/2021,33.45
01/03/2022,42.17
01/03/2022,32.8
01/03/2022,43.02
01/03/2022,29.57
01/04/2019,49.62
01/04/2019,66.42
01/04/2019,45.53
01/04/2019,69.82
01/04/2019,56.29
01/04/2019,60.71
01/04/2020,0.04
01/04/2020,0.13
01/04/2020,0.25
01/04/2020,0.04
01/04/2021,14.49
01/04/2021,11.43
01/04/2021,15.29
01/04/2021,19.87
01/04/2022,53.02
01/04/2022,46.24
01/04/2022,21.53
01/04/2022,29.3
01/04/2022,46.54
01/04/2022,42.73
01/05/2019,70.52
01/05/2019,61.68
01/05/2019,53.47
01/05/2019,42.6
01/05/2020,1.03
01/05/2020,1.03
01/05/2020,6.36
01/05/2020,6.84
01/05/2020,4.97
01/05/2020,1.3
01/05/2021,1.63
01/05/2021,1.29
01/05/2021,3.7
01/05/2021,2.06
01/05/2022,56.77
01/05/2022,45.63
01/05/2022,39.65
01/05/2022,58.32
01/06/2019,54.34
01/06/2019,59.39
01/06/2019,54.25
01/06/2019,51.66
01/06/2019,47.79
01/06/2019,58.86
01/06/2020,22.7
01/06/2020,22.77
01/06/2020,6.58
01/06/2020,19.57
01/06/2021,4.27
01/06/2021,1.05
01/06/2021,3.65
01/06/2021,6.32
01/06/2021,3.82
01/06/2021,4.14
01/06/2022,46.84
01/06/2022,40.97
01/06/2022,49.27
01/06/2022,35.34
01/07/2019,56.42
01/07/2019,67.35
01/07/2019,56.72
01/07/2019,54.3
01/07/2020,17.93
01/07/2020,25.7
01/07/2020,10.43
01/07/2020,47.65
01/07/2020,12.45
01/07/2020,33.07
01/07/2021,1.15
01/07/2021,7.13
01/07/2021,3.87
01/07/2021,4.64
01/07/2022,41.45
01/07/2022,39.28
01/07/2022,50.48
01/07/2022,50.45
01/07/2022,47.91
01/07/2022,52.17
01/08/2019,49.24
01/08/2019,62.11
01/08/2019,46.65
01/08/2019,52.28
01/08/2020,21.19
01/08/2020,44.16
01/08/2020,40.76
01/08/2020,43.21
01/08/2020,22.61
01/08/2021,4.91
01/08/2021,1.31
01/08/2021,0.82
01/08/2021,2.01
01/08/2021,1.88
01/08/2022,56.72
01/08/2022,57.8
01/08/2022,52.65
01/08/2022,49.87
01/09/2019,65.71
01/09/2019,54.02
01/09/2019,44.41
01/09/2019,68.95
01/09/2019,59.31
01/09/2019,47.68
01/09/2020,28.63
01/09/2020,30.3
01/09/2020,47.32
01/09/2020,26.79
01/09/2021,4.43
01/09/2021,4.71
01/09/2021,4.29
01/09/2021,8.43
01/09/2021,5.79
01/09/2021,2.35
01/09/2022,48.38
01/09/2022,40.26
01/09/2022,75.15
01/09/2022,53.63
01/10/2019,63.22
01/10/2019,62.0
01/10/2019,51.18
01/10/2019,58.86
01/10/2020,33.06
01/10/2020,37.82
01/10/2020,25.32
01/10/2020,14.53
01/10/2020,36.07
01/10/2020,44.05
01/10/2021,18.86
01/10/2021,30.2
01/10/2021,6.58
01/10/2021,49.03
01/10/2022,43.33
01/10/2022,25.12
01/10/2022,58.73
01/10/2022,47.54
01/10/2022,34.28
01/10/2022,33.44
01/11/2019,57.05
01/11/2019,52.72
01/11/2019,71.02
01/11/2019,50.51
01/11/2020,54.58
01/11/2020,54.72
01/11/2020,58.64
01/11/2020,60.43
01/11/2021,26.53
01/11/2021,21.43
01/11/2021,8.24
01/11/2021,6.85
01/11/2021,29.92
01/11/2021,15.59
01/11/2022,61.28
01/11/2022,39.18
01/11/2022,43.76
01/11/2022,46.61
01/12/2019,65.4
01/12/2019,67.35
01/12/2019,76.89
01/12/2019,91.86
01/12/2019,56.2
01/12/2019,54.39
01/12/2020,30.71
01/12/2020,15.2
01/12/2020,52.59
01/12/2020,54.38
01/12/2021,49.35
01/12/2021,55.92
01/12/2021,56.89
01/12/2021,54.36
01/12/2022,62.13
01/12/2022,64.2
01/12/2022,47.94
01/12/2022,52.28
01/12/2022,61.99
01/12/2022,45.4
01/01/2019,205330.0
01/01/2019,140711.0
01/01/2019,65695.0
01/01/2019,30736.0
01/01/2020,83049.0
01/01/2020,50824.0
01/01/2020,43616.0
01/01/2020,392547.0
01/01/2020,135215.0
01/01/2020,62304.0
01/01/2021,25274.0
01/01/2021,21035.0
01/01/2021,32747.0
01/01/2021,17401.0
01/01/2022,223019.0
01/01/2022,56358.0
01/01/2022,141208.0
01/01/2022,32699.0
01/01/2023,320803.0
01/01/2023,73725.0
01/01/2023,70089.0
01/01/2023,28320.0
01/01/2023,8286.0
01/01/2023,142271.0
01/02/2019,101232.0
01/02/2019,198785.0
01/02/2019,118024.0
01/02/2019,53634.0
01/02/2020,13461.0
01/02/2020,56271.0
01/02/2020,62626.0
01/02/2020,34780.0
01/02/2020,156229.0
01/02/2020,105265.0
01/02/2021,50502.0
01/02/2021,36080.0
01/02/2021,82871.0
01/02/2021,37615.0
01/02/2022,68271.0
01/02/2022,211948.0
01/02/2022,91902.0
01/02/2022,114358.0
01/02/2023,2427838.0
01/02/2023,298484.0
01/02/2023,349766.0
01/02/2023,73095.0
01/02/2023,83983.0
01/02/2023,7684.0
01/03/2019,1310969.0
01/03/2019,120696.0
01/03/2019,23632.0
01/03/2019,85512.0
01/03/2020,4079.0
01/03/2020,2025.0
01/03/2020,119803.0
01/03/2020,23815.0
01/03/2020,7461.0
01/03/2020,25455.0
01/03/2021,17874.0
01/03/2021,121412.0
01/03/2021,15424.0
01/03/2021,111100.0
01/03/2022,22017.0
01/03/2022,63293.0
01/03/2022,66219.0
01/03/2022,88524.0
01/03/2022,6075.0
01/04/2019,3239883.0
01/04/2019,26659.0
01/04/2019,59371.0
01/04/2019,37853.0
01/04/2019,54188.0
01/04/2020,419.0
01/04/2020,10275.0
01/04/2020,1493.0
01/04/2020,408.0
01/04/2021,25328.0
01/04/2021,2858.0
01/04/2021,43419.0
01/04/2021,47781.0
01/04/2021,8934.0
01/04/2021,2157.0
01/04/2022,144927.0
01/04/2022,33186.0
01/04/2022,73923.0
01/04/2022,18917.0
01/05/2019,63594.0
01/05/2019,45558.0
01/05/2019,29401.0
01/05/2019,76571.0
01/05/2019,7296.0
01/05/2019,10113.0
01/05/2020,249.0
01/05/2020,316.0
01/05/2020,1331.0
01/05/2020,1022.0
01/05/2021,35478.0
01/05/2021,42558.0
01/05/2021,5296.0
01/05/2021,6855.0
01/05/2022,15003.0
01/05/2022,62115.0
01/05/2022,111926.0
01/05/2022,45279.0
01/05/2022,44762.0
01/05/2022,61879.0
01/06/2019,83396.0
01/06/2019,437564.0
01/06/2019,68256.0
01/06/2019,51017.0
01/06/2020,8758.0
01/06/2020,8301.0
01/06/2020,110139.0
01/06/2020,5413.0
01/06/2020,2661.0
01/06/2020,1129.0
01/06/2021,1491.0
01/06/2021,1684.0
01/06/2021,73450.0
01/06/2021,12817.0
01/06/2022,54895.0
01/06/2022,277959.0
01/06/2022,120129.0
01/06/2022,38977.0
01/07/2019,55597.0
01/07/2019,24004.0
01/07/2019,277123.0
01/07/2019,413807.0
01/07/2019,30925.0
01/07/2019,87827.0
01/07/2020,127667.0
01/07/2020,56154.0
01/07/2020,17973.0
01/07/2020,42207.0
01/07/2021,672.0
01/07/2021,618.0
01/07/2021,23836.0
01/07/2021,52843.0
01/07/2021,2440.0
01/07/2021,445.0
01/07/2022,54003.0
01/07/2022,30968.0
01/07/2022,55069.0
01/07/2022,306700.0
01/08/2019,51984.0
01/08/2019,60327.0
01/08/2019,18136.0
01/08/2019,108346.0
01/08/2020,57745.0
01/08/2020,42396.0
01/08/2020,9538.0
01/08/2020,41409.0
01/08/2020,56511.0
01/08/2020,19660.0
01/08/2021,20675.0
01/08/2021,1793.0
01/08/2021,4309.0
01/08/2021,1435.0
01/08/2022,65632.0
01/08/2022,24130.0
01/08/2022,25809.0
01/08/2022,262558.0
01/08/2022,76761.0
01/08/2022,47577.0
01/09/2019,62581.0
01/09/2019,64134.0
01/09/2019,90970.0
01/09/2019,36337.0
01/09/2020,188828.0
01/09/2020,43315.0
01/09/2020,92613.0
01/09/2020,13025.0
01/09/2021,6965.0
01/09/2021,16045.0
01/09/2021,6758.0
01/09/2021,687.0
01/09/2021,1968.0
01/09/2021,6105.0
01/09/2022,73494.0
01/09/2022,91665.0
01/09/2022,68666.0
01/09/2022,40015.0
01/10/2019,12656.0
01/10/2019,73200.0
01/10/2019,70618.0
01/10/2019,40215.0
01/10/2019,174153.0
01/10/2019,126455.0
01/10/2020,156175.0
01/10/2020,51359.0
01/10/2020,147641.0
01/10/2020,42963.0
01/10/2021,33133.0
01/10/2021,166596.0
01/10/2021,17531.0
01/10/2021,37534.0
01/10/2022,1666579.0
01/10/2022,52904.0
01/10/2022,79839.0
01/10/2022,129416.0
01/10/2022,39314.0
01/10/2022,24047.0
01/11/2019,1319409.0
01/11/2019,132847.0
01/11/2019,24251.0
01/11/2019,129692.0
01/11/2020,8942.0
01/11/2020,4972.0
01/11/2020,104288.0
01/11/2020,54052.0
01/11/2020,27863.0
01/11/2020,141007.0
01/11/2021,34877.0
01/11/2021,134273.0
01/11/2021,14542.0
01/11/2021,87300.0
01/11/2022,26741.0
01/11/2022,69905.0
01/11/2022,82118.0
01/11/2022,138675.0
01/11/2022,7530.0
01/12/2019,3335728.0
01/12/2019,19236.0
01/12/2019,46519.0
01/12/2019,35432.0
01/12/2019,43001.0
01/12/2020,318247.0
01/12/2020,528203.0
01/12/2020,43286.0
01/12/2020,16547.0
01/12/2021,68813.0
01/12/2021,10653.0
01/12/2021,71975.0
01/12/2021,103356.0
01/12/2021,78145.0
01/12/2021,27628.0
01/12/2022,260807.0
01/12/2022,40958.0
01/12/2022,99249.0
01/12/2022,20570.0
01/01/2019,109253.0
01/01/2019,270438.0
01/01/2019,64359.0
01/01/2019,189826.0
01/01/2019,21790.0
01/01/2019,36343.0
01/01/2020,115989.0
01/01/2020,20886.0
01/01/2020,159289.0
01/01/2020,62442.0
01/01/2021,224595.0
01/01/2021,270283.0
01/01/2021,20824.0
01/01/2021,56736.0
01/01/2022,53856.0
01/01/2022,207455.0
01/01/2022,150822.0
01/01/2022,120090.0
01/01/2022,66730.0
01/01/2022,159734.0
01/01/2023,100643.0
01/01/2023,399136.0
01/01/2023,95628.0
01/01/2023,89179.0
01/02/2019,383666.0
01/02/2019,110685.0
01/02/2019,1013231.0
01/02/2019,58683.0
01/02/2019,50196.0
01/02/2019,20377.0
01/02/2020,98829.0
01/02/2020,90369.0
01/02/2020,747501.0
01/02/2020,137005.0
01/02/2021,135782.0
01/02/2021,448354.0
01/02/2021,84124.0
01/02/2021,48250.0
01/02/2022,279836.0
01/02/2022,55261.0
01/02/2022,108113.0
01/02/2022,121047.0
01/02/2022,77116.0
01/02/2022,55530.0
01/02/2023,131283.0
01/02/2023,99191.0
01/02/2023,98421.0
01/02/2023,88505.0
01/03/2019,211911.0
01/03/2019,408778.0
01/03/2019,291144.0
01/03/2019,847850.0
01/03/2019,102171.0
01/03/2019,54505.0
01/03/2020,51544.0
01/03/2020,33188.0
01/03/2020,26771.0
01/03/2020,210672.0
01/03/2021,141951.0
01/03/2021,244088.0
01/03/2021,32320.0
01/03/2021,90644.0
01/03/2022,551475.0
01/03/2022,297382.0
01/03/2022,22292.0
01/03/2022,118958.0
01/03/2022,127716.0
01/03/2022,85743.0
01/04/2019,213856.0
01/04/2019,248112.0
01/04/2019,72773.0
01/04/2019,70487.0
01/04/2020,0.0
01/04/2020,163.0
01/04/2020,589.0
01/04/2020,2113.0
01/04/2020,98.0
01/04/2020,70.0
01/04/2021,50714.0
01/04/2021,40640.0
01/04/2021,40561.0
01/04/2021,27584.0
01/04/2022,978729.0
01/04/2022,340004.0
01/04/2022,205734.0
01/04/2022,81290.0
01/05/2019,199924.0
01/05/2019,675175.0
01/05/2019,389122.0
01/05/2019,63667.0
01/05/2019,69734.0
01/05/2019,168175.0
01/05/2020,0.0
01/05/2020,293.0
01/05/2020,629.0
01/05/2020,1988.0
01/05/2021,2679.0
01/05/2021,3634.0
01/05/2021,5525.0
01/05/2021,8775.0
01/05/2021,11676.0
01/05/2021,17785.0
01/05/2022,346773.0
01/05/2022,52622.0
01/05/2022,284363.0
01/05/2022,83662.0
01/06/2019,162225.0
01/06/2019,717779.0
01/06/2019,182675.0
01/06/2019,266099.0
01/06/2020,878018.0
01/06/2020,19370.0
01/06/2020,2999.0
01/06/2020,96626.0
01/06/2020,14353.0
01/06/2020,14020.0
01/06/2021,41441.0
01/06/2021,20687.0
01/06/2021,7266.0
01/06/2021,8603.0
01/06/2022,46650.0
01/06/2022,54735.0
01/06/2022,290943.0
01/06/2022,129183.0
01/06/2022,54086.0
01/06/2022,268696.0
01/07/2019,167791.0
01/07/2019,811130.0
01/07/2019,88840.0
01/07/2019,380020.0
01/07/2020,234565.0
01/07/2020,181836.0
01/07/2020,71230.0
01/07/2020,92466.0
01/07/2020,13453.0
01/07/2021,169121.0
01/07/2021,585.0
01/07/2021,529.0
01/07/2021,2664.0
01/07/2021,5772.0
01/07/2022,756385.0
01/07/2022,1142238.0
01/07/2022,132178.0
01/07/2022,95180.0
01/08/2019,468164.0
01/08/2019,34859.0
01/08/2019,219355.0
01/08/2019,569418.0
01/08/2019,182424.0
01/08/2019,36025.0
01/08/2020,208281.0
01/08/2020,98646.0
01/08/2020,37414.0
01/08/2020,40650.0
01/08/2021,1338.0
01/08/2021,1995.0
01/08/2021,6914.0
01/08/2021,15946.0
01/08/2021,1440.0
01/08/2021,1487.0
01/08/2022,92041.0
01/08/2022,22400.0
01/08/2022,215926.0
01/08/2022,43376.0
01/09/2019,628587.0
01/09/2019,485736.0
01/09/2019,64103.0
01/09/2019,88290.0
01/09/2020,38038.0
01/09/2020,182255.0
01/09/2020,300387.0
01/09/2020,51065.0
01/09/2020,67589.0
01/09/2020,100287.0
01/09/2021,7010.0
01/09/2021,24688.0
01/09/2021,6514.0
01/09/2021,21353.0
01/09/2022,207476.0
01/09/2022,37932.0
01/09/2022,629097.0
01/09/2022,59625.0
01/09/2022,37146.0
01/09/2022,17002.0
01/10/2019,74448.0
01/10/2019,102466.0
01/10/2019,929863.0
01/10/2019,407861.0
01/10/2020,215680.0
01/10/2020,595218.0
01/10/2020,154372.0
01/10/2020,50003.0
01/10/2021,62770.0
01/10/2021,25249.0
01/10/2021,6644.0
01/10/2021,9362.0
01/10/2021,29110.0
01/10/2021,19225.0
01/10/2022,138965.0
01/10/2022,86810.0
01/10/2022,79095.0
01/10/2022,84108.0
01/11/2019,171277.0
01/11/2019,220742.0
01/11/2019,375804.0
01/11/2019,1249167.0
01/11/2019,118513.0
01/11/2019,45637.0
01/11/2020,59481.0
01/11/2020,23731.0
01/11/2020,89246.0
01/11/2020,618902.0
01/11/2021,103736.0
01/11/2021,279513.0
01/11/2021,52329.0
01/11/2021,134305.0
01/11/2022,804102.0
01/11/2022,391329.0
01/11/2022,45270.0
01/11/2022,169617.0
01/11/2022,162782.0
01/11/2022,68570.0
01/12/2019,199433.0
01/12/2019,238714.0
01/12/2019,109443.0
01/12/2019,76788.0
01/12/2020,148483.0
01/12/2020,92686.0
01/12/2020,65543.0
01/12/2020,267702.0
01/12/2020,181451.0
01/12/2020,121130.0
01/12/2021,39244.0
01/12/2021,91461.0
01/12/2021,99618.0
01/12/2021,101214.0
01/12/2022,1163685.0
01/12/2022,514438.0
01/12/2022,278428.0
01/12/2022,106813.0
01/01/2019,266301.0
01/01/2019,561553.0
01/01/2019,373158.0
01/01/2019,24265.0
01/01/2019,83928.0
01/01/2019,209451.0
01/01/2020,293389.0
01/01/2020,126273.0
01/01/2020,98387.0
01/01/2020,121682.0
01/01/2021,26723.0
01/01/2021,67342.0
01/01/2021,39744.0
01/01/2021,20822.0
01/01/2021,104169.0
01/01/2021,143261.0
01/01/2022,165798.0
01/01/2022,46501.0
01/01/2022,285370.0
01/01/2022,96703.0
01/01/2023,386177.0
01/01/2023,400496.0
01/01/2023,98527.0
01/01/2023,167863.0
01/02/2019,2919922.0
01/02/2019,254213.0
01/02/2019,11355.0
01/02/2019,305351.0
01/02/2019,177964.0
01/02/2019,75073.0
01/02/2020,329571.0
01/02/2020,257162.0
01/02/2020,79719.0
01/02/2020,74330.0
01/02/2021,27336.0
01/02/2021,39898.0
01/02/2021,70067.0
01/02/2021,69494.0
01/02/2021,26009.0
01/02/2021,148869.0
01/02/2022,82673.0
01/02/2022,161030.0
01/02/2022,49451.0
01/02/2022,240987.0
01/02/2023,718340.0
01/02/2023,242191.0
01/02/2023,112853.0
01/02/2023,87088.0
01/02/2023,407653.0
01/03/2019,3097209.0
01/03/2019,24636.0
01/03/2019,6902.0
01/03/2019,63334.0
01/03/2019,188483.0
01/03/2020,194789.0
01/03/2020,360208.0
01/03/2020,44585.0
01/03/2020,35831.0
01/03/2021,182747.0
01/03/2021,29344.0
01/03/2021,137933.0
01/03/2021,90236.0
01/03/2021,127950.0
01/03/2021,36657.0
01/03/2022,162472.0
01/03/2022,80694.0
01/03/2022,100785.0
01/03/2022,51215.0
01/04/2019,89280.0
01/04/2019,308646.0
01/04/2019,73983.0
01/04/2019,215977.0
01/04/2019,23089.0
01/04/2019,23792.0
01/04/2020,74.0
01/04/2020,0.0
01/04/2020,117.0
01/04/2020,0.0
01/04/2021,385488.0
01/04/2021,275243.0
01/04/2021,62067.0
01/04/2021,87577.0
01/04/2022,71460.0
01/04/2022,235156.0
01/04/2022,135441.0
01/04/2022,88426.0
01/04/2022,66347.0
01/04/2022,139395.0
01/05/2019,153539.0
01/05/2019,699836.0
01/05/2019,103951.0
01/05/2019,80269.0
01/05/2020,0.0
01/05/2020,939.0
01/05/2020,11629.0
01/05/2020,1867.0
01/05/2020,739.0
01/05/2020,657.0
01/05/2021,1678.0
01/05/2021,1501.0
01/05/2021,94599.0
01/05/2021,19899.0
01/05/2022,290114.0
01/05/2022,749348.0
01/05/2022,158722.0
01/05/2022,91441.0
01/06/2019,330589.0
01/06/2019,77342.0
01/06/2019,164162.0
01/06/2019,234785.0
01/06/2019,136750.0
01/06/2019,97476.0
01/06/2020,98644.0
01/06/2020,29215.0
01/06/2020,14232.0
01/06/2020,36779.0
01/06/2021,1645.0
01/06/2021,2895.0
01/06/2021,26054.0
01/06/2021,79438.0
01/06/2021,5542.0
01/06/2021,1630.0
01/06/2022,72322.0
01/06/2022,38757.0
01/06/2022,107587.0
01/06/2022,473498.0
01/07/2019,137880.0
01/07/2019,210391.0
01/07/2019,50637.0
01/07/2019,143080.0
01/07/2020,342138.0
01/07/2020,113819.0
01/07/2020,9596.0
01/07/2020,44913.0
01/07/2020,95372.0
01/07/2020,69681.0
01/07/2021,17038.0
01/07/2021,3515.0
01/07/2021,5713.0
01/07/2021,2109.0
01/07/2022,227534.0
01/07/2022,112539.0
01/07/2022,68916.0
01/07/2022,365046.0
01/07/2022,177251.0
01/07/2022,127618.0
01/08/2019,96133.0
01/08/2019,55525.0
01/08/2019,206169.0
01/08/2019,90300.0
01/08/2020,639769.0
01/08/2020,106969.0
01/08/2020,139408.0
01/08/2020,33518.0
01/08/2021,7028.0
01/08/2021,16958.0
01/08/2021,7996.0
01/08/2021,421.0
01/08/2021,2700.0
01/08/2021,5778.0
01/08/2022,112163.0
01/08/2022,99243.0
01/08/2022,76117.0
01/08/2022,77497.0
01/09/2019,57042.0
01/09/2019,169738.0
01/09/2019,72975.0
01/09/2019,41204.0
01/09/2019,305434.0
01/09/2019,107295.0
01/09/2020,161848.0
01/09/2020,69178.0
01/09/2020,244002.0
01/09/2020,89038.0
01/09/2021,30897.0
01/09/2021,190728.0
01/09/2021,18741.0
01/09/2021,33466.0
01/09/2022,2495479.0
01/09/2022,319139.0
01/09/2022,80227.0
01/09/2022,189010.0
01/09/2022,132702.0
01/09/2022,48278.0
01/10/2019,710207.0
01/10/2019,184123.0
01/10/2019,105107.0
01/10/2019,86583.0
01/10/2020,28431.0
01/10/2020,33934.0
01/10/2020,140210.0
01/10/2020,76676.0
01/10/2020,42775.0
01/10/2020,295516.0
01/10/2021,10519.0
01/10/2021,64142.0
01/10/2021,31863.0
01/10/2021,78172.0
01/10/2022,393702.0
01/10/2022,129841.0
01/10/2022,156894.0
01/10/2022,154135.0
01/10/2022,26456.0
01/11/2019,4087756.0
01/11/2019,23318.0
01/11/2019,12062.0
